section,name,price,category,description,availability,img_primary,img_secondary,prdouct_url
Baby ,Baby Soap 100g,$5.00 ,BABY CARE,"A creamy natural cleanser enriched with Virgin Coconut, Rice Bran, Almond & Moringa to moisturise, nourish & soften delicate skin. Pure Mango Butter & Kokum Butters help hydrate, protect & fortify natural balance, while fresh Aloe Vera & Calendula help cool & comfort.",Out of stock,Baby Soap 100g_primary.jpg,Baby Soap 100g_secondary.jpg,https://store.spaceylon.com/product/baby-soap-100g/
Baby ,Baby Eau De Ceylon 100ml,$19.00 ,BABY CARE,"A soft, breezy cologne evoking the soothing freshness of Ceylonese Citrus fruits, floral blossoms & rainforest herbs. The delicate island water is infused with an allergen-free aromatic blend, combining Lavender, Rose Geranium, Neroli & Ylang Ylang to help calm & comfort the senses, promoting natural relaxation.
* Dermatologically Tested
* Pure & Gentle",Out of stock,Baby Eau De Ceylon 100ml_primary.jpg,Baby Eau De Ceylon 100ml_secondary.jpg,https://store.spaceylon.com/product/baby-eau-de-ceylon-100ml/
Baby ,Baby Soothing Aloe Gel 250Ml,$19.00 ,BABY CARE,"A light gel infused with naturally hydrating fresh Aloe Vera, to effectively soothe & care for delicate skin & hair. Pure Witch Hazel combines with Calendula & Apricot to comfort & protect from head-to-toe, protecting against dryness, environment & minor irritations. The allergen-free aromatic blend is infused with Lavender, Rose Geranium, Neroli & Ylang Ylang to help calm & comfort the senses, promoting natural relaxation.
* Dermatologically Tested
* Pure & Gentle",Out of stock,Baby Soothing Aloe Gel 250Ml_primary.jpg,Baby Soothing Aloe Gel 250Ml_secondary.jpg,https://store.spaceylon.com/product/baby-soothing-aloe-gel-250ml/
Baby ,Baby Shampoo 250ml,$19.00 ,BABY CARE,"A light natural formula that is gentle for the eyes. Infused with Aloe Vera, Calendula & Mango to remove impurities & softly cleanse delicate hair & scalp. Virgin Coconut, Sweet Almond, & Sunflower help hydrate & fortify natural scalp balance, leaving hair soft & silky. The allergen-free aromatic blend is infused with Lavender, Rose Geranium, Neroli & Ylang Ylang to help calm & comfort the senses, promoting natural relaxation.
* Dermatologically Tested
* Pure & Gentle",Out of stock,Baby Shampoo 250ml_primary.jpg,Baby Shampoo 250ml_secondary.jpg,https://store.spaceylon.com/product/baby-shampoo-250ml/
Baby ,Baby Wash 250ml,$19.00 ,BABY CARE,"A light natural formula, infused with Aloe Vera, Licorice & Calendula to gently, yet effectively remove impurities & cleanse delicate skin. Virgin Coconut, Sweet Almond, & Sunflower help soothe & hydrate, leaving skin soft & fresh. The allergen-free aromatic blend is infused with Lavender, Rose Geranium, Neroli & Ylang Ylang to help calm & comfort the senses, promoting natural relaxation.
* Dermatologically Tested
* Pure & Gentle",Out of stock,Baby Wash 250ml_primary.jpg,Baby Wash 250ml_secondary.jpg,https://store.spaceylon.com/product/baby-wash-250ml/
skin,Skin-Balance – Moringa Herb – Discolouration Treatment Serum – 60ml,$26.00 ,NIGHT SERUMS & TREATMENTS,"Best for blemished, blotchy & uneven skin & problem skin that seeks soothing balance, freshness & new radiance",In Stock,,,https://store.spaceylon.com/product/skin-balance-moringa-herb-discolouration-treatment-serum-60ml/
skin,Sal & Saffron – Vitamin E Rich – Skin Care Set,$35.00 ,GIFTS,Description not available,In Stock,Sal & Saffron – Vitamin E Rich – Skin Care Set_primary.jpg,Sal & Saffron – Vitamin E Rich – Skin Care Set_secondary.jpg,https://store.spaceylon.com/product/sal-saffron-vitamin-e-rich-skin-care-set/
skin,Sal & Saffron – Vitamin E Rich – Eye Zone – Day & Night Treatment Concentrate – 20ml,$18.00 ,SAL & SAFFRON,"A powerful targeted treatment infused with nourishing Sal Butter & precious Saffron to help soothe & protect skin around & under the eyes, defending against visible signs of skin ageing.",Out of stock,Sal & Saffron – Vitamin E Rich – Eye Zone – Day & Night Treatment Concentrate – 20ml_primary.jpg,Sal & Saffron – Vitamin E Rich – Eye Zone – Day & Night Treatment Concentrate – 20ml_secondary.jpg,https://store.spaceylon.com/product/sal-saffron-vitamin-e-rich-eye-zone-day-night-treatment-concentrate-20ml/
skin,Sal & Saffron – 2-in-1 Deep Cleanser + Facial Treatment Masque 100ml,$21.00 ,SAL & SAFFRON,"A purifying & hydrating dual-active formula infused with nourishing Sal Butter & precious Saffron to instantly deep cleanse skin, dissolving make-up, removing daily grime & pollutants.",Out of stock,Sal & Saffron – 2-in-1 Deep Cleanser + Facial Treatment Masque 100ml_primary.jpg,Sal & Saffron – 2-in-1 Deep Cleanser + Facial Treatment Masque 100ml_secondary.jpg,https://store.spaceylon.com/product/sal-saffron-2-in-1-deep-cleanser-facial-treatment-masque-100ml/
skin,Sal & Saffron – Vitamin E Rich – Facial Cleansing Foam – 150ml,$21.00 ,SAL & SAFFRON,Description not available,Out of stock,Sal & Saffron – Vitamin E Rich – Facial Cleansing Foam – 150ml_primary.jpg,Sal & Saffron – Vitamin E Rich – Facial Cleansing Foam – 150ml_secondary.jpg,https://store.spaceylon.com/product/sal-saffron-vitamin-e-rich-facial-cleansing-foam-150ml-2/
