id,product_name,price,category,sub_category,availability,description,,img_primary,img_secondary,url
p1,Baby Soap 100g,5,baby ,baby care,no,"A creamy natural cleanser enriched with Virgin Coconut, Rice Bran, Almond & Moringa to moisturise, nourish & soften delicate skin. Pure Mango Butter & Kokum Butters help hydrate, protect & fortify natural balance, while fresh Aloe Vera & Calendula help cool & comfort.",,Baby Soap 100g_primary.jpg,Baby Soap 100g_secondary.jpg,https://store.spaceylon.com/product/baby-soap-100g/
p2,Baby Eau De Ceylon 100ml,19,baby ,baby care,no,"A soft, breezy cologne evoking the soothing freshness of Ceylonese Citrus fruits, floral blossoms & rainforest herbs. The delicate island water is infused with an allergen-free aromatic blend, combining Lavender, Rose Geranium, Neroli & Ylang Ylang to help calm & comfort the senses, promoting natural relaxation.
* Dermatologically Tested
* Pure & Gentle",,Baby Eau De Ceylon 100ml_primary.jpg,Baby Eau De Ceylon 100ml_secondary.jpg,https://store.spaceylon.com/product/baby-eau-de-ceylon-100ml/
p3,Baby Soothing Aloe Gel 250Ml,19,baby ,baby care,no,"A light gel infused with naturally hydrating fresh Aloe Vera, to effectively soothe & care for delicate skin & hair. Pure Witch Hazel combines with Calendula & Apricot to comfort & protect from head-to-toe, protecting against dryness, environment & minor irritations. The allergen-free aromatic blend is infused with Lavender, Rose Geranium, Neroli & Ylang Ylang to help calm & comfort the senses, promoting natural relaxation.
* Dermatologically Tested
* Pure & Gentle",,Baby Soothing Aloe Gel 250Ml_primary.jpg,Baby Soothing Aloe Gel 250Ml_secondary.jpg,https://store.spaceylon.com/product/baby-soothing-aloe-gel-250ml/
p4,Baby Shampoo 250ml,19,baby ,baby care,no,"A light natural formula that is gentle for the eyes. Infused with Aloe Vera, Calendula & Mango to remove impurities & softly cleanse delicate hair & scalp. Virgin Coconut, Sweet Almond, & Sunflower help hydrate & fortify natural scalp balance, leaving hair soft & silky. The allergen-free aromatic blend is infused with Lavender, Rose Geranium, Neroli & Ylang Ylang to help calm & comfort the senses, promoting natural relaxation.
* Dermatologically Tested
* Pure & Gentle",,Baby Shampoo 250ml_primary.jpg,Baby Shampoo 250ml_secondary.jpg,https://store.spaceylon.com/product/baby-shampoo-250ml/
p5,Baby Wash 250ml,19,baby ,baby care,no,"A light natural formula, infused with Aloe Vera, Licorice & Calendula to gently, yet effectively remove impurities & cleanse delicate skin. Virgin Coconut, Sweet Almond, & Sunflower help soothe & hydrate, leaving skin soft & fresh. The allergen-free aromatic blend is infused with Lavender, Rose Geranium, Neroli & Ylang Ylang to help calm & comfort the senses, promoting natural relaxation.
* Dermatologically Tested
* Pure & Gentle",,Baby Wash 250ml_primary.jpg,Baby Wash 250ml_secondary.jpg,https://store.spaceylon.com/product/baby-wash-250ml/
p6,Skin-Balance – Moringa Herb – Discolouration Treatment Serum – 60ml,26,skin,night serums & treatments,yes,"Best for blemished, blotchy & uneven skin & problem skin that seeks soothing balance, freshness & new radiance",,,,https://store.spaceylon.com/product/skin-balance-moringa-herb-discolouration-treatment-serum-60ml/
p7,Sal & Saffron – Vitamin E Rich – Skin Care Set,35,skin,gifts,yes,Description not available,,Sal & Saffron – Vitamin E Rich – Skin Care Set_primary.jpg,Sal & Saffron – Vitamin E Rich – Skin Care Set_secondary.jpg,https://store.spaceylon.com/product/sal-saffron-vitamin-e-rich-skin-care-set/
p8,Sal & Saffron – Vitamin E Rich – Eye Zone – Day & Night Treatment Concentrate – 20ml,18,skin,sal & saffron,no,"A powerful targeted treatment infused with nourishing Sal Butter & precious Saffron to help soothe & protect skin around & under the eyes, defending against visible signs of skin ageing.",,Sal & Saffron – Vitamin E Rich – Eye Zone – Day & Night Treatment Concentrate – 20ml_primary.jpg,Sal & Saffron – Vitamin E Rich – Eye Zone – Day & Night Treatment Concentrate – 20ml_secondary.jpg,https://store.spaceylon.com/product/sal-saffron-vitamin-e-rich-eye-zone-day-night-treatment-concentrate-20ml/
p9,Sal & Saffron – 2-in-1 Deep Cleanser + Facial Treatment Masque 100ml,21,skin,sal & saffron,no,"A purifying & hydrating dual-active formula infused with nourishing Sal Butter & precious Saffron to instantly deep cleanse skin, dissolving make-up, removing daily grime & pollutants.",,Sal & Saffron – 2-in-1 Deep Cleanser + Facial Treatment Masque 100ml_primary.jpg,Sal & Saffron – 2-in-1 Deep Cleanser + Facial Treatment Masque 100ml_secondary.jpg,https://store.spaceylon.com/product/sal-saffron-2-in-1-deep-cleanser-facial-treatment-masque-100ml/
p10,Sal & Saffron – Vitamin E Rich – Facial Cleansing Foam – 150ml,21,skin,sal & saffron,no,Description not available,,Sal & Saffron – Vitamin E Rich – Facial Cleansing Foam – 150ml_primary.jpg,Sal & Saffron – Vitamin E Rich – Facial Cleansing Foam – 150ml_secondary.jpg,https://store.spaceylon.com/product/sal-saffron-vitamin-e-rich-facial-cleansing-foam-150ml-2/
